attraction,region,county,district,cru,category,category_detail,2011_visitors,2012_visitors,2013_visitors,2014_visitors,2015_visitors,charge,charge_band,size
Grimes Graves,EAST,Norfolk,Breckland,Rural,Historic Properties,Historic Monument/ Archaeological Site,13198,9716,10026,11268,12376,Paid,£3.01 to £4.99,"10,001-20,000"
"Grimsthorpe Castle, Park and Gardens",EM,Lincolnshire,South Kesteven,Rural,Historic Properties,Historic House / House and Garden / Palace,19000,20213,23258,22504,21497,Paid,£10.00 or over,"20,001-50,000"
Grizedale Forest Visitor Centre,NW,Cumbria,South Lakeland,Rural,Visitor Centres,Heritage / Visitor Centre,250000,200000,190000,180000,186000,Free,Free,"100,001-200,000"
Abingdon Museum,SE,Oxfordshire,Vale of White Horse,Urban,Museums & Art Galleries,Museum and / or Art Gallery,19000,20000,32000,32000,32000,Free,Free,"20,001-50,000"
RAF Spitfire & Hurricane Memorial Trust,SE,Kent,Thanet,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,60000,50000,52000,36000,29000,Free,Free,"20,001-50,000"
Booth Museum of Natural History,SE,East Sussex,Brighton and Hove,Urban,Museums & Art Galleries,Museum and / or Art Gallery,27021,29161,27944,27709,28723,Free,Free,"20,001-50,000"
Guisborough Museum,NE,Tees Valley,Redcar and Cleveland,Urban,Museums & Art Galleries,Museum and / or Art Gallery,1241,1400,1300,1366,992,Free,Free,"10,000 or less"
Gunby Hall,EM,LINCOLNSHIRE,East Lindsey,Rural,Historic Properties,Historic House / House and Garden / Palace,9000,16000,27840,35554,37650,Paid,£5.00 to £7.49,"20,001-50,000"
GWR Gloucestershire Warwickshire Steam Railway,SW,Gloucestershire,Tewkesbury,Rural,Railways,Steam / Heritage Railway,80000,84000,85000,84000,88500,Paid,£10.00 or over,"50,001-100,000"
H M S Warrior,SE,Hampshire,Portsmouth,Coastal,Historic Properties,Other Historic Property,210000,230000,250000,287563,274069,Paid,£10.00 or over,"Over 200,000"
Hailes Abbey,SW,Gloucestershire,Tewkesbury,Rural,Historic Properties,Historic Monument/ Archaeological Site,18432,14499,14652,12288,10330,Paid,£3.01 to £4.99,"10,001-20,000"
Haldon Forest Park - Forestry Commission,SW,Devon,Teignbridge,Rural,Country Parks,Country Park,220000,220000,300000,350000,382306,Free,Free,"Over 200,000"
Halesworth and District Museum,EAST,SUFFOLK,Waveney,Urban,Museums & Art Galleries,Museum and / or Art Gallery,961,1269,1488,1915,1863,Free,Free,"10,000 or less"
Halifax Visitor Centre & Art Gallery,Y&H,West Yorkshire,Calderdale,Urban,Visitor Centres,Heritage / Visitor Centre,30978,30105,24382,17883,15148,Free,Free,"10,001-20,000"
Hall i' th' Wood Museum,NW,Greater Manchester,Bolton,Urban,Historic Properties,Historic House / House and Garden / Palace,1419,3553,4109,3292,3800,Free,Free,"10,000 or less"
Hall's Croft,WM,Warwickshire,Stratford-on-Avon,Urban,Historic Properties,Historic House / House and Garden / Palace,95000,99000,97524,94201,92363,Paid,£10.00 or over,"50,001-100,000"
Hampton Court Palace,LON,Greater London,,Urban,Historic Properties,Historic House / House and Garden / Palace,583242,525443,563407,566457,598851,Paid,£10.00 or over,"Over 200,000"
Hamsterley Forest,NE,County Durham,Durham,Rural,Country Parks,Country Park,200000,175000,195000,175000,140860,Free,Free,"100,001-200,000"
Hanbury Hall,WM,Worcestershire,Wychavon,Rural,Historic Properties,Historic House / House and Garden / Palace,119878,118872,119074,135492,162596,Paid,£10.00 or over,"100,001-200,000"
Handel House Museum,LON,Greater London,Westminster,Urban,Historic Properties,Historic House / House and Garden / Palace,18683,17882,22623,19663,15632,Paid,£5.00 to £7.49,"10,001-20,000"
Hands On History Museum,Y&H,East Riding of Yorkshire,Kingston upon Hull,Urban,Museums & Art Galleries,Museum and / or Art Gallery,29273,31376,35022,17639,4059,Free,Free,"10,000 or less"
Hardcastle Crags,Y&H,West Yorkshire,Calderdale,Rural,Historic Properties,Other Historic Property,8507,9986,7433,7321,6982,Paid,Charge - DK,"10,000 or less"
Hardwick Hall,EM,Derbyshire,Bolsover,Rural,Historic Properties,Historic House / House and Garden / Palace,176992,224294,205416,210898,217779,Paid,£10.00 or over,"Over 200,000"
Hardwick Old Hall,EM,Derbyshire,Bolsover,Rural,Historic Properties,Historic House / House and Garden / Palace,49774,43575,41918,45696,39471,Paid,£5.00 to £7.49,"20,001-50,000"
Hardy's Cottage,SW,Dorset,West Dorset,Rural,Gardens,Garden,34690,28843,20718,22399,33215,Paid,Charge - DK,"20,001-50,000"
Hare Hill Gardens (NT),NW,Cheshire,Cheshire East,Rural,Gardens,Garden,12000,14000,20500,24960,25000,Paid,£5.00 to £7.49,"20,001-50,000"
Harewood House,Y&H,West Yorkshire,Leeds,Rural,Historic Properties,Historic House / House and Garden / Palace,234637,186813,184700,172725,175139,Paid,£10.00 or over,"100,001-200,000"
Harlaxton Manor,EM,Lincolnshire,South Kesteven,Rural,Historic Properties,Historic House / House and Garden / Palace,1039,1100,1200,1400,1400,Paid,£7.50 to £9.99,"10,000 or less"
Harlow Museum,EAST,Essex,Harlow,Urban,Museums & Art Galleries,Museum and / or Art Gallery,5000,5500,6000,8000,8409,Paid,Under £3.00,"10,000 or less"
Harrington Aviation Museum,EM,Northamptonshire,Kettering,Rural,Museums & Art Galleries,Museum and / or Art Gallery,2316,2191,2359,2166,2386,Paid,£3.01 to £4.99,"10,000 or less"
Harrold-Odell Country Park,EAST,BEDFORDSHIRE,Bedford,Rural,Country Parks,Country Park,270000,270000,290000,300000,300000,Free,Free,"Over 200,000"
Harrow School Old Speech Room Gallery,LON,GREATER LONDON,Harrow,Urban,Museums & Art Galleries,Museum and / or Art Gallery,1000,1200,1500,1500,1200,Free,Free,"10,000 or less"
Harvard House & The Museum of British Pewter,WM,Warwickshire,Stratford-on-Avon,Urban,Historic Properties,Historic House / House and Garden / Palace,1200,1000,1350,50000,82598,Paid,£10.00 or over,"50,001-100,000"
Harvington Hall,WM,Worcestershire,Wyre Forest,Rural,Historic Properties,Historic House / House and Garden / Palace,14000,15000,16000,17452,18140,Paid,£7.50 to £9.99,"10,001-20,000"
St Laurence's Church,WM,Shropshire,Shropshire,Rural,Places of Worship,Place of Worship (still in use),63000,54000,64000,65000,60000,Free,Free,"50,001-100,000"
Hatchlands Park,SE,Surrey,Guildford,Rural,Historic Properties,Historic House / House and Garden / Palace,59463,61699,73585,74707,100067,Paid,£7.50 to £9.99,"100,001-200,000"
Hatfield House,EAST,Hertfordshire,Welwyn Hatfield,Rural,Historic Properties,Historic House / House and Garden / Palace,112136,88997,93987,100307,98000,Paid,Charge - DK,"50,001-100,000"
Hatton Farm Village at Hatton Country World,WM,Warwickshire,Warwick,Rural,Leisure / Theme Parks,Leisure / Theme Park,450000,500000,500000,500000,500000,Paid,£10.00 or over,"Over 200,000"
Hatton Gallery,NE,Tyne and Wear,Newcastle upon Tyne,Urban,Museums & Art Galleries,Museum and / or Art Gallery,23630,25000,28163,36361,29489,Free,Free,"20,001-50,000"
Haughmond Abbey,WM,Shropshire,Shropshire,Rural,Historic Properties,Historic Monument/ Archaeological Site,4025,2646,3043,2976,2757,Paid,£3.01 to £4.99,"10,000 or less"
Southampton City Art Gallery,SE,Hampshire,Southampton,Urban,Museums & Art Galleries,Museum and / or Art Gallery,24000,27000,30161,23352,22655,Free,Free,"20,001-50,000"
Havering Museum,EAST,Essex,Romford,Urban,Museums & Art Galleries,Museum and / or Art Gallery,5000,6000,6370,5853,6506,Paid,Under £3.00,"10,000 or less"
Hawkshead Courthouse,NW,CUMBRIA,South Lakeland,Rural,Historic Properties,Historic Monument/ Archaeological Site,150,150,170,200,200,Free,Free,"10,000 or less"
Hawkstone Historic Park and Follies,WM,Shropshire,Shropshire,Rural,Country Parks,Country Park,20000,23309,32506,43512,39443,Paid,£7.50 to £9.99,"20,001-50,000"
Haworth Art Gallery (Tiffany Glass),NW,Lancashire,Hyndburn,Rural,Museums & Art Galleries,Museum and / or Art Gallery,12000,13000,14056,15043,21542,Free,Free,"20,001-50,000"
Haynes International Motor Museum,SW,Somerset,South Somerset,Rural,Museums & Art Galleries,Museum and / or Art Gallery,65980,55536,50162,77594,87773,Paid,£10.00 or over,"50,001-100,000"
Head of Steam Darlington Railway Museum,NE,Tees Valley,Darlington,Urban,Museums & Art Galleries,Museum and / or Art Gallery,24835,26000,30000,32612,33229,Paid,£3.01 to £4.99,"20,001-50,000"
Heage Windmill,EM,Derbyshire,Amber Valley,Rural,Visitor Centres,Heritage / Visitor Centre,6500,5720,4867,4329,4329,Paid,£3.01 to £4.99,"10,000 or less"
Heckington Village Trust Railway & Heritage Museum,EM,Lincolnshire,North Kesteven,Urban,Museums & Art Galleries,Museum and / or Art Gallery,546,211,222,313,551,Paid,Under £3.00,"10,000 or less"
Hedingham Castle,EAST,ESSEX,Braintree,Rural,Historic Properties,Castle / Fort,5000,5189,6816,10396,8710,Paid,£7.50 to £9.99,"10,000 or less"
Hedon Museum,Y&H,East Riding of Yorkshire,East Riding of Yorkshire,Rural,Museums & Art Galleries,Museum and / or Art Gallery,1700,1800,2000,2279,2060,Free,Free,"10,000 or less"
Heeley City Farm,Y&H,South Yorkshire,Sheffield,Urban,Farms,Farm / Rare Breeds / Farm Animals,100000,100000,100000,100000,100000,Free,Free,"50,001-100,000"
Helmsley Castle,Y&H,North Yorkshire,Ryedale,Rural,Historic Properties,Castle / Fort,27456,23909,27210,24945,31259,Paid,£5.00 to £7.49,"20,001-50,000"
Helmsley Walled Garden,Y&H,NORTH YORKSHIRE,Ryedale,Rural,Gardens,Garden,16000,10000,10000,17500,20500,Paid,£5.00 to £7.49,"20,001-50,000"
New Forest Reptile Centre,SE,Hampshire,New Forest,Rural,Wildlife,Safari Park / Zoo / Aquarium / Aviary,15000,16000,17000,18000,20000,Free,Free,"10,001-20,000"
Henry VII Experience at Micklegate Bar,Y&H,NORTH YORKSHIRE,York,Urban,Museums & Art Galleries,Museum and / or Art Gallery,12000,13000,13962,16005,16688,Paid,£3.01 to £4.99,"10,001-20,000"
Hergest Croft Gardens,WM,HEREFORDSHIRE,Herefordshire,Rural,Gardens,Garden,11161,7874,8006,8018,8749,Paid,£5.00 to £7.49,"10,000 or less"
Heritage Workshop Centre,EAST,Suffolk,Waveney,Coastal,Visitor Centres,Heritage / Visitor Centre,651,485,413,606,684,Paid,Charge - DK,"10,000 or less"
Herne Mill,SE,Kent,Canterbury,Rural,Historic Properties,Other Historic Property,750,850,945,900,801,Paid,Under £3.00,"10,000 or less"
Herschel Museum of Astronomy,SW,Somerset,Bath and North East Somerset,Urban,Museums & Art Galleries,Museum and / or Art Gallery,7250,7500,8000,8254,8302,Paid,£5.00 to £7.49,"10,000 or less"
Hidcote Manor Garden,SW,Gloucestershire,Cotswold,Rural,Gardens,Garden,177336,156730,163383,174306,181300,Paid,£10.00 or over,"100,001-200,000"
High Beach Forest Centre,LON,Essex,Loughton,Rural,Visitor Centres,Heritage / Visitor Centre,80000,90000,10115,11160,16062,Free,Free,"10,001-20,000"
High Lodge Forest Centre,EAST,SUFFOLK,Forest Heath,Rural,Country Parks,Country Park,32000,33000,340000,350000,364351,Free,Free,"Over 200,000"
Hill Close Gardens,WM,Warwickshire,WARWICK,Rural,Gardens,Garden,6131,5520,4713,7000,8000,Paid,£3.01 to £4.99,"10,000 or less"
Hill Top,NW,Cumbria,South Lakeland,Rural,Historic Properties,Historic House / House and Garden / Palace,105905,98351,103314,95617,92030,Paid,£7.50 to £9.99,"50,001-100,000"
Hinckley and District Museum,EM,Leicestershire,Hinckley and Bosworth,Urban,Museums & Art Galleries,Museum and / or Art Gallery,1948,2629,3099,3765,2782,Paid,Under £3.00,"10,000 or less"
Hinton Ampner Garden,SE,Hampshire,Winchester,Rural,Historic Properties,Historic House / House and Garden / Palace,102153,105365,111806,109990,130067,Paid,£7.50 to £9.99,"100,001-200,000"
HMS Belfast,LON,Greater London,Southwark,Urban,Historic Properties,Other Historic Property,243179,160358,332342,346331,297483,Paid,£10.00 or over,"Over 200,000"
HMS Ganges Association Museum,EAST,SUFFOLK,Babergh,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,3421,4176,3168,4003,3594,Free,Free,"10,000 or less"
Hodsock Priory Gardens,EM,Nottinghamshire,Worksop,Rural,Historic Properties,Historic House / House and Garden / Palace,17000,18000,19042,16482,16072,Paid,£5.00 to £7.49,"10,001-20,000"
Hodsock Snowdrops,EM,Nottinghamshire,Bassetlaw,Rural,Historic Properties,Historic House / House and Garden / Palace,17000,18000,21000,16482,15409,Paid,£5.00 to £7.49,"10,001-20,000"
Hole Park Gardens,SE,Kent,Ashford,Rural,Gardens,Garden,10644,8119,10372,11636,11009,Paid,£5.00 to £7.49,"10,001-20,000"
Holsworthy Museum,SW,Devon,Torridge,Rural,Museums & Art Galleries,Museum and / or Art Gallery,922,1636,1741,1556,1627,Free,Free,"10,000 or less"
Holt Country Park,EAST,Norfolk,North Norfolk,Rural,Country Parks,Country Park,28000,29000,30000,32000,32000,Free,Free,"20,001-50,000"
Crooked Spire Church,EM,DERBYSHIRE,Chesterfield,Urban,Places of Worship,Place of Worship (still in use),120000,125000,125000,45000,50000,Free,Free,"20,001-50,000"
Hook Norton Brewery Visitor Centre,SE,Oxfordshire,Cherwell,Rural,Workplace,Distillery / Vineyard or Brewery,7000,8000,9000,10000,11000,Paid,£10.00 or over,"10,001-20,000"
Horniman Museum and Gardens,LON,Greater London,Lewisham,Urban,Museums & Art Galleries,Museum and / or Art Gallery,505899,561629,844647,870051,758868,Free,Free,"Over 200,000"
HorsePower - The Museum of The Kings Royal Hussars in Winchester,SE,Hampshire,Winchester,Urban,Museums & Art Galleries,Museum and / or Art Gallery,6000,6103,7687,3921,3414,Paid,Under £3.00,"10,000 or less"
Horsey Windpump,EAST,Norfolk,North Norfolk,Coastal,Workplace,Industrial / Craft Workplace,16257,19897,20162,12830,13015,Paid,Under £3.00,"10,001-20,000"
Farnham Castle Keep,SE,Surrey,Waverley,Rural,Historic Properties,Castle / Fort,16298,13860,15000,17952,18346,Free,Free,"10,001-20,000"
Horwich Heritage Centre,NW,Greater Manchester,Bolton,Urban,Visitor Centres,Heritage / Visitor Centre,4000,3700,3600,3500,3500,Free,Free,"10,000 or less"
Houghton Lodge Gardens,SE,Hampshire,Test Valley,Rural,Historic Properties,Historic House / House and Garden / Palace,5000,5000,6000,6102,5908,Paid,£5.00 to £7.49,"10,000 or less"
Houghton Mill,EAST,Cambridgeshire,Huntingdonshire,Rural,Historic Properties,Other Historic Property,20760,19500,19600,19353,19728,Paid,£3.01 to £4.99,"10,001-20,000"
Household Cavalry Museum,LON,Greater London,Westminster,Urban,Museums & Art Galleries,Museum and / or Art Gallery,76097,43307,80612,75328,66855,Paid,£5.00 to £7.49,"50,001-100,000"
Houses of Parliament,LON,GREATER LONDON,Westminster,Urban,Historic Properties,Historic House / House and Garden / Palace,1054151,1024890,1041000,1253326,928855,Paid,Charge - DK,"Over 200,000"
Housesteads Roman Fort,NE,Northumberland,Northumberland,Rural,Historic Properties,Castle / Fort,82303,76371,91786,104511,107468,Paid,£5.00 to £7.49,"100,001-200,000"
Braxton Gardens,SE,Hampshire,New Forest,Rural,Gardens,Garden,2000,6000,7000,14000,18000,Free,Free,"10,001-20,000"
Hovingham Hall,Y&H,NORTH YORKSHIRE,Ryedale,Rural,Historic Properties,Historic House / House and Garden / Palace,3029,2071,1729,1854,1910,Paid,£7.50 to £9.99,"10,000 or less"
How Stean Gorge,Y&H,North Yorkshire,Harrogate,Rural,Visitor Centres,Heritage / Visitor Centre,5000,7500,8800,9000,10535,Paid,£5.00 to £7.49,"10,001-20,000"
Howick Gardens & Arboretum,NE,Northumberland,Northumberland,Coastal,Gardens,Garden,35208,33000,29580,36846,35231,Paid,£5.00 to £7.49,"20,001-50,000"
Huddersfield Astronomical Society,Y&H,WEST YORKSHIRE,,Urban,Museums & Art Galleries,Science / Technology Centre,500,900,1200,1200,800,Paid,Under £3.00,"10,000 or less"
Hughenden Manor,SE,Buckinghamshire,Wycombe,Rural,Historic Properties,Historic House / House and Garden / Palace,101572,93000,94429,101034,135000,Paid,£10.00 or over,"100,001-200,000"
Hull & East Riding Museum,Y&H,EAST RIDING OF YORKSHIRE,Kingston upon Hull,Urban,Museums & Art Galleries,Museum and / or Art Gallery,55976,55500,68037,76792,76271,Free,Free,"50,001-100,000"
"Ickworth House, Park and Gardens",EAST,Suffolk,St Edmundsbury,Rural,Historic Properties,Historic House / House and Garden / Palace,177001,188000,173403,210897,233010,Paid,£10.00 or over,"Over 200,000"
Army Medical Services Museum,SE,Surrey,Guildford,Urban,Museums & Art Galleries,Museum and / or Art Gallery,11972,13000,15000,16547,17365,Free,Free,"10,001-20,000"
Ightham Mote,SE,Kent,Tonbridge and Malling,Rural,Historic Properties,Historic House / House and Garden / Palace,115490,120000,124000,126344,136576,Paid,£10.00 or over,"100,001-200,000"
Ilfracombe Museum,SW,Devon,North Devon,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,17786,15750,12859,13480,13499,Paid,Under £3.00,"10,001-20,000"
Imperial War Museum Duxford,EAST,Cambridgeshire,South Cambridgeshire,Rural,Visitor Centres,Heritage / Visitor Centre,387508,375323,377641,402468,374119,Paid,£10.00 or over,"Over 200,000"
Imperial War Museum London,LON,Greater London,Southwark,Urban,Museums & Art Galleries,Museum and / or Art Gallery,973445,957952,360886,914774,1102655,Free,Free,"Over 200,000"
Imperial War Museum North,NW,Greater Manchester,Trafford,Urban,Museums & Art Galleries,Museum and / or Art Gallery,302298,328500,318585,411293,290433,Free,Free,"Over 200,000"
Ingatestone Hall,EAST,ESSEX,Brentwood,Rural,Historic Properties,Historic House / House and Garden / Palace,5893,5745,5869,5518,6154,Paid,£5.00 to £7.49,"10,000 or less"
International Slavery Museum,NW,Merseyside,Liverpool,Urban,Museums & Art Galleries,Museum and / or Art Gallery,402424,446753,448012,368113,460161,Free,Free,"Over 200,000"
Ipswich Museum,EAST,Suffolk,Ipswich,Urban,Museums & Art Galleries,Museum and / or Art Gallery,48700,45000,40000,35430,45007,Free,Free,"20,001-50,000"
Ramsgate Visitor Information Centre,SE,Kent,Ramsgate,Coastal,Visitor Centres,Heritage / Visitor Centre,12000,13000,14000,14978,17239,Free,Free,"10,001-20,000"
Isles of Scilly Museum,SW,Cornwall,Isles of Scilly,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,10500,12000,12000,11500,11500,Paid,£3.01 to £4.99,"10,001-20,000"
Godalming Museum,SE,Surrey,Waverley,Urban,Museums & Art Galleries,Museum and / or Art Gallery,9000,14000,15000,15392,16804,Free,Free,"10,001-20,000"
Guildford Museum,SE,Surrey,Guildford,Urban,Museums & Art Galleries,Museum and / or Art Gallery,10000,11000,14192,11396,14210,Free,Free,"10,001-20,000"
Jane Austen's House Museum,SE,Hampshire,East Hampshire,Rural,Historic Properties,Historic House / House and Garden / Palace,38112,33995,50000,37873,39984,Paid,£7.50 to £9.99,"20,001-50,000"
Lashenden Air Warfare Museum,SE,Kent,Maidstone,Rural,Museums & Art Galleries,Museum and / or Art Gallery,11583,6953,10831,12499,12994,Free,Free,"10,001-20,000"
Jewel Tower,LON,Greater London,Westminster,Urban,Historic Properties,Historic Monument/ Archaeological Site,33733,28639,28921,31786,27290,Paid,£3.01 to £4.99,"20,001-50,000"
Jewry Wall Museum,EM,Leicestershire,Leicester,Urban,Museums & Art Galleries,Museum and / or Art Gallery,22025,24791,24500,29220,28867,Free,Free,"20,001-50,000"
Jodrell Bank Discovery Centre,NW,Cheshire,Cheshire East,Rural,Visitor Centres,Heritage / Visitor Centre,66954,90000,110000,123042,128928,Paid,£5.00 to £7.49,"100,001-200,000"
John Jarrold Printing Museum,EAST,Norfolk,Norwich,Urban,Museums & Art Galleries,Museum and / or Art Gallery,750,950,900,1100,1000,Free,Free,"10,000 or less"
John Webb's Windmill,EAST,ESSEX,Uttlesford,Rural,Historic Properties,Other Historic Property,3632,2987,3470,3069,2773,Free,Free,"10,000 or less"
JORVIK Viking Centre,Y&H,North Yorkshire,York,Urban,Museums & Art Galleries,Museum and / or Art Gallery,403308,388148,395851,393697,330261,Paid,£10.00 or over,"Over 200,000"
